image_path,binary_mask_path
dataset/1k_images/client_data/training_data/data/final_render_460_y23.67_z-9.70_pupil_diameter_1.47mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_460_y23.67_z-9.70_pupil_diameter_1.47mm.jpg0460.jpg
dataset/1k_images/client_data/training_data/data/final_render_461_y-16.12_z7.05_pupil_diameter_5.54mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_461_y-16.12_z7.05_pupil_diameter_5.54mm.jpg0461.jpg
dataset/1k_images/client_data/training_data/data/final_render_462_y-11.02_z-22.72_pupil_diameter_1.61mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_462_y-11.02_z-22.72_pupil_diameter_1.61mm.jpg0462.jpg
dataset/1k_images/client_data/training_data/data/final_render_463_y-9.30_z19.15_pupil_diameter_2.69mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_463_y-9.30_z19.15_pupil_diameter_2.69mm.jpg0463.jpg
dataset/1k_images/client_data/training_data/data/final_render_464_y-17.43_z0.83_pupil_diameter_4.29mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_464_y-17.43_z0.83_pupil_diameter_4.29mm.jpg0464.jpg
dataset/1k_images/client_data/training_data/data/final_render_465_y20.89_z16.83_pupil_diameter_7.39mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_465_y20.89_z16.83_pupil_diameter_7.39mm.jpg0465.jpg
dataset/1k_images/client_data/training_data/data/final_render_466_y-11.64_z14.82_pupil_diameter_5.82mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_466_y-11.64_z14.82_pupil_diameter_5.82mm.jpg0466.jpg
dataset/1k_images/client_data/training_data/data/final_render_467_y12.29_z-16.62_pupil_diameter_1.93mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_467_y12.29_z-16.62_pupil_diameter_1.93mm.jpg0467.jpg
dataset/1k_images/client_data/training_data/data/final_render_468_y-24.13_z-28.86_pupil_diameter_7.72mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_468_y-24.13_z-28.86_pupil_diameter_7.72mm.jpg0468.jpg
dataset/1k_images/client_data/training_data/data/final_render_469_y21.77_z-9.33_pupil_diameter_3.36mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_469_y21.77_z-9.33_pupil_diameter_3.36mm.jpg0469.jpg
dataset/1k_images/client_data/training_data/data/final_render_46_y-22.08_z25.35_pupil_diameter_4.64mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_46_y-22.08_z25.35_pupil_diameter_4.64mm.jpg0046.jpg
dataset/1k_images/client_data/training_data/data/final_render_470_y7.87_z3.30_pupil_diameter_4.20mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_470_y7.87_z3.30_pupil_diameter_4.20mm.jpg0470.jpg
dataset/1k_images/client_data/training_data/data/final_render_471_y14.36_z28.72_pupil_diameter_2.08mm.png,dataset/1k_images/client_data/training_data/binary_mask/final_render_471_y14.36_z28.72_pupil_diameter_2.08mm.jpg0471.jpg
