image_path,diameter
dataset/1k_images/host_data/training_data/data/final_render_1000_y22.28_z10.67_pupil_diameter_5.76mm.png,5.76
dataset/1k_images/host_data/training_data/data/final_render_100_y15.82_z-16.69_pupil_diameter_1.54mm.png,1.54
dataset/1k_images/host_data/training_data/data/final_render_101_y-5.09_z-19.16_pupil_diameter_1.84mm.png,1.84
dataset/1k_images/host_data/training_data/data/final_render_102_y29.90_z2.03_pupil_diameter_5.05mm.png,5.05
dataset/1k_images/host_data/training_data/data/final_render_103_y-18.88_z27.16_pupil_diameter_7.03mm.png,7.03
dataset/1k_images/host_data/training_data/data/final_render_104_y-12.81_z-29.12_pupil_diameter_4.79mm.png,4.79
dataset/1k_images/host_data/training_data/data/final_render_105_y6.46_z11.17_pupil_diameter_6.35mm.png,6.35
dataset/1k_images/host_data/training_data/data/final_render_106_y11.65_z-12.65_pupil_diameter_4.62mm.png,4.62
dataset/1k_images/host_data/training_data/data/final_render_107_y-17.98_z17.93_pupil_diameter_5.61mm.png,5.61
dataset/1k_images/host_data/training_data/data/final_render_108_y-5.53_z1.10_pupil_diameter_3.45mm.png,3.45
dataset/1k_images/host_data/training_data/data/final_render_109_y25.06_z24.82_pupil_diameter_5.74mm.png,5.74
dataset/1k_images/host_data/training_data/data/final_render_10_y-12.26_z-27.58_pupil_diameter_2.56mm.png,2.56
dataset/1k_images/host_data/training_data/data/final_render_110_y13.13_z3.35_pupil_diameter_3.01mm.png,3.01
dataset/1k_images/host_data/training_data/data/final_render_111_y9.02_z20.55_pupil_diameter_5.94mm.png,5.94
dataset/1k_images/host_data/training_data/data/final_render_112_y-27.82_z-10.01_pupil_diameter_2.56mm.png,2.56
dataset/1k_images/host_data/training_data/data/final_render_113_y-11.03_z-23.87_pupil_diameter_5.02mm.png,5.02
dataset/1k_images/host_data/training_data/data/final_render_114_y-4.29_z-8.31_pupil_diameter_2.29mm.png,2.29
dataset/1k_images/host_data/training_data/data/final_render_115_y21.94_z19.53_pupil_diameter_6.35mm.png,6.35
dataset/1k_images/host_data/training_data/data/final_render_116_y4.41_z-8.18_pupil_diameter_1.58mm.png,1.58
dataset/1k_images/host_data/training_data/data/final_render_117_y0.77_z-7.25_pupil_diameter_5.46mm.png,5.46
dataset/1k_images/host_data/training_data/data/final_render_118_y-28.50_z-5.89_pupil_diameter_7.89mm.png,7.89
dataset/1k_images/host_data/training_data/data/final_render_119_y-1.09_z10.44_pupil_diameter_5.99mm.png,5.99
dataset/1k_images/host_data/training_data/data/final_render_11_y1.62_z-25.50_pupil_diameter_2.56mm.png,2.56
dataset/1k_images/host_data/training_data/data/final_render_120_y-22.89_z15.17_pupil_diameter_7.43mm.png,7.43
dataset/1k_images/host_data/training_data/data/final_render_121_y9.56_z4.60_pupil_diameter_7.86mm.png,7.86
dataset/1k_images/host_data/training_data/data/final_render_122_y-10.36_z-21.80_pupil_diameter_6.26mm.png,6.26
dataset/1k_images/host_data/training_data/data/final_render_123_y28.37_z-19.24_pupil_diameter_6.61mm.png,6.61
dataset/1k_images/host_data/training_data/data/final_render_124_y-21.78_z-19.87_pupil_diameter_7.81mm.png,7.81
dataset/1k_images/host_data/training_data/data/final_render_125_y14.68_z11.23_pupil_diameter_6.54mm.png,6.54
dataset/1k_images/host_data/training_data/data/final_render_126_y12.00_z18.78_pupil_diameter_1.94mm.png,1.94
dataset/1k_images/host_data/training_data/data/final_render_127_y19.23_z8.51_pupil_diameter_6.76mm.png,6.76
dataset/1k_images/host_data/training_data/data/final_render_128_y-4.21_z23.76_pupil_diameter_2.21mm.png,2.21
dataset/1k_images/host_data/training_data/data/final_render_129_y19.46_z-16.62_pupil_diameter_5.73mm.png,5.73
dataset/1k_images/host_data/training_data/data/final_render_12_y6.38_z-23.70_pupil_diameter_6.30mm.png,6.30
